,Name,Smiles,Ka_mean,mol
0,cyclododecylammonium,[NH3+]C1CCCCCCCCCCC1,52000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c2e0>
1,"4-(1,1-dimethylpiperidin-1-ium-4-yl)-1,1-dimethyl-piperidin-1-ium",C[N+]1(C)CCC(CC1)C1CC[N+](C)(C)CC1,45000000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c350>
2,norbornan-2-ylammonium,[NH3+]C1CC2CCC1C2,640000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c3c0>
3,trimethylsilylmethylammonium,C[Si](C)(C)C[NH3+],500000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c430>
4,"[3,5-dimethyl-7-(trimethylammonio)-1-adamantyl]-trimethyl-ammonium",CC12CC3(C)CC(C1)(CC(C2)(C3)[N+](C)(C)C)[N+](C)(C)C,9200.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c4a0>
5,cyclooctylammonium,[NH3+]C1CCCCCCC1,720000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c510>
6,cyclohexylammonium,[NH3+]C1CCCCC1,130000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c580>
7,3-[benzyl(dimethyl)ammonio]propane-1-sulfonate,C[N+](C)(CCCS([O-])(=O)=O)CC1=CC=CC=C1,23300.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c5f0>
8,(3-hydroxy-1-adamantyl)ammonium,[NH3+]C12CC3CC(C1)CC(O)(C3)C2,37000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c660>
9,trimethyl-[[4-[(trimethylammonio)methyl]phenyl]methyl]ammonium;G10,C[N+](C)(C)CC1=CC=C(C[N+](C)(C)C)C=C1,16000000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c6d0>
10,"2,2-dimethylpropylammonium",CC(C)(C)C[NH3+],33000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c740>
11,trimethyl-[6-(trimethylammonio)-2-adamantyl]ammonium,C[N+](C)(C)C1C2CC3CC1CC(C2)C3[N+](C)(C)C,89000000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c7b0>
12,1-methyl-4-(1-methylpyridin-1-ium-4-yl)pyridin-1-ium,C[N+]1=CC=C(C=C1)C1=CC=[N+](C)C=C1,1600000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c820>
13,4-(2-(1-phenylpyridin-1-ium-4-yl)vinyl)methilate,C[n+]1ccc(/C=C/c2ccc([O-])cc2)cc1,124000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c890>
14,4-(2-(1-phenylpyridin-1-ium-4-yl)vinyl)phenolate,[O-]c1ccc(/C=C/c2cc[n+](-c3ccccc3)cc2)cc1,4900000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c900>
15,"2,6-dibromo-4-(2-(1-phenylpyridin-1-ium-4-yl)vinyl)phenolate",[O-]c1c(Br)cc(/C=C/c2cc[n+](-c3ccccc3)cc2)cc1Br,105000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c970>
16,1-undecylpyridin-1-ium,CCCCCCCCCCC[n+]1ccccc1,124000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46c9e0>
17,1-heptadecylpyridin-1-ium,CCCCCCCCCCCCCCCCC[n+]1ccccc1,326000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46ca50>
18,1-methyl-4-pentan-3-ylpyridin-1-ium,CCC(CC)c1cc[n+](C)cc1,167000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46cac0>
19,1-methyl-4-(1-methylpyridin-1-ium-4-yl)pyridin-1-ium,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,102000000.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46cb30>
20,None,Cc1cc(C)cc(OCCCCCCCCCCOCc2ccc3c4c5c(ccc24)CC=CC5C=C3)c1,80400.0,<rdkit.Chem.rdchem.Mol object at 0x79d84b46cba0>
